BrandID,BrandGUID,BrandDesc,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,MBrandID,DeptID
171,A0F5BDA1-F962-4EE2-8F0F-7DC3D26FD15B,BALENCIAGA,NULL,NULL,NULL,NULL,10119,3
172,1EA4502D-E220-4C08-ADA8-9637048637CA,BALENCIAGA,NULL,NULL,NULL,NULL,10692,18
173,B962F5E8-C91B-4BB2-95BA-823AA9220802,BALENCIAGA,NULL,NULL,NULL,NULL,10807,20
174,9BF58BDD-5ECE-4CC7-983D-82CB1402BD6E,BALENCIAGA,NULL,NULL,NULL,NULL,10988,26
175,68E87E31-D6BC-4CA3-9A30-0CF615A36DB0,BALENCIAGA,NULL,NULL,NULL,NULL,11171,31
176,C0FE7DDB-D615-4DB1-B7A5-35FA28C651BC,BALENCIAGA,NULL,NULL,NULL,NULL,11197,32
177,B98EBC46-0A49-4D87-B8F3-4EB0F24683F9,BALENCIAGA,NULL,NULL,NULL,NULL,13137,38
178,3F9AB28D-7ADD-4B46-9EB9-1DC6B5F4C1A6,BALENCIAGA SHOES,NULL,NULL,NULL,NULL,11610,41
179,91A3E174-D357-4C9F-9FBD-18B91177A7CF,BALLANTYNE,NULL,NULL,NULL,NULL,10217,8
180,5A522F90-A7FB-4BEC-99CF-BB060F24084B,BALLANTYNE,NULL,NULL,NULL,NULL,10512,13
181,327B038F-3FFF-4C02-8CAF-212E17B07791,BAMBINI SOUL,NULL,NULL,NULL,NULL,11903,40
182,1DBCD505-FCBF-4B64-A07A-9383A8194C79,BANTAM,NULL,NULL,NULL,NULL,10772,18
183,03CF768B-E2DC-4AE2-95FF-A9F7F4443045,BARACUTA,NULL,NULL,NULL,NULL,12548,18
184,F0F218FA-D8A4-449F-AC4B-A6651CBFA9FC,BARACUTA,NULL,NULL,NULL,NULL,12877,12
185,36039F70-17B2-48BE-8AB4-0967D13EB6C5,BARBARA BUI,NULL,NULL,NULL,NULL,10188,8
186,0DE6F414-CDC4-46A3-8E3E-52E228018EB4,BARBARA PEDINI,NULL,NULL,NULL,NULL,11150,28
187,9F31512B-38E7-49A4-BCA2-2307EFDC6B32,BAREFOOT DOCTOR,NULL,NULL,NULL,NULL,11910,40
188,E545E701-280E-4A07-AFD9-5348725353CF,BASSO & BROOKE,NULL,NULL,NULL,NULL,12029,2
189,50C526E5-809E-49CE-B062-D190EFC5DE38,BATH BLOOMERS,NULL,NULL,NULL,NULL,11868,40
190,3D8A2516-2BEA-4E0D-9A94-DA00410F5385,BATHOLOGY,NULL,NULL,NULL,NULL,11907,40
191,0CE52727-D2CE-438E-9E76-80BA6514FCAD,BAZAAR DES SENTEURS,NULL,NULL,NULL,NULL,12108,40
192,F28424DC-B09C-4A3E-B971-74B2FE509FAB,BBC ICE CREAM,NULL,NULL,NULL,NULL,13233,12
193,6A31D931-C37C-4897-A66A-0C9B9FFBC5B2,BBC ICE CREAM ACCESSORIES,NULL,NULL,NULL,NULL,13251,45
194,0BF39C75-353A-4336-95DB-E3AF0663355D,BD8,NULL,NULL,NULL,NULL,12652,44
195,54C3819F-6777-4E0F-BEE9-58A6F4077F8D,BE & D,NULL,NULL,NULL,NULL,12123,32
196,AFFAB610-63F2-42D9-9F0B-258B720073C5,BE&D,NULL,NULL,NULL,NULL,13065,23
197,26C1C19F-1D6F-4E43-A749-123B184643C2,BEACHWEAR DUMP,NULL,NULL,NULL,NULL,90206,34
198,A6E3C9CC-BA4A-4221-8EF8-FB84019D0B0A,BEandD,NULL,NULL,NULL,NULL,13239,41
199,157FB2A1-268A-4F67-9520-97EA94259039,BEATRIX ONG,NULL,NULL,NULL,NULL,11629,41
200,E32BDC6E-B83C-43E0-9812-66D921CA6AFD,BEAU BRA,NULL,NULL,NULL,NULL,11503,36
201,A44C0C39-E500-4FF8-B9FE-CF159892DF26,BEAU BRA,NULL,NULL,NULL,NULL,11558,37
202,3E95F49C-B57D-490F-B879-A9A388FBE329,BEAUTY MAMMA,NULL,NULL,NULL,NULL,11926,40
203,E80FE2B4-409C-4609-A89B-8913E6C7F442,BECCA,NULL,NULL,NULL,NULL,12700,39
204,83033BEB-7417-4071-8BEF-78D32117CB40,BEHNAZ KANANI,NULL,NULL,NULL,NULL,13204,41
205,F483B0B4-B75C-4E60-B853-4D7A235BE698,BEHNAZ SARAFPOUR,NULL,NULL,NULL,NULL,12965,3
206,35433E50-2366-42B9-81A1-44EAEE3EFD1F,BELLA NYC,NULL,NULL,NULL,NULL,11145,28
207,FC1BC228-FE14-40EA-B364-581BCDA77B6F,BELLEKAT,NULL,NULL,NULL,NULL,12873,9
208,9DECCC7D-76DA-46D4-84E9-A1B14DBD2DCE,BELSTAFF,NULL,NULL,NULL,NULL,10734,18
209,11F67718-DB50-47AD-AF41-315517D8F363,BELSTAFF,NULL,NULL,NULL,NULL,13021,12
210,81DAE5E9-420D-4784-A72B-CA46D2FF8B6A,Belstaff,NULL,NULL,NULL,NULL,13048,38
